Department,Month,Budget,Actual,Variance,Variance_pct
Sales,Jan-2024,284101.0,267910.0,-16191.0,-0.057
Sales,Feb-2024,52786.0,50926.0,-1860.0,-0.0352
Sales,Mar-2024,52777.0,53012.0,235.0,0.0045
Sales,Apr-2024,18621.0,18392.0,-229.0,-0.0123
Sales,May-2024,625881.0,602361.0,-23520.0,-0.0376
Sales,Jun-2024,286012.0,291770.0,5758.0,0.0201
Sales,Jul-2024,383156.0,358292.0,-24864.0,-0.0649
Sales,Aug-2024,6473.0,6230.0,-243.0,-0.0375
Sales,Sep-2024,1090283.0,1064056.0,-26227.0,-0.0241
Sales,Oct-2024,555924.0,551528.0,-4396.0,-0.0079
Sales,Nov-2024,74278.0,78090.0,3812.0,0.0513
Sales,Dec-2024,62450.0,59074.0,-3376.0,-0.0541
Marketing,Jan-2024,1310207.0,1353427.0,43220.0,0.033
Marketing,Feb-2024,201517.0,205506.0,3989.0,0.0198
Marketing,Mar-2024,629971.0,667753.0,37782.0,0.06
Marketing,Apr-2024,365478.0,343989.0,-21489.0,-0.0588
Marketing,May-2024,191888.0,188125.0,-3763.0,-0.0196
Marketing,Jun-2024,4280.0,4035.0,-245.0,-0.0572
Marketing,Jul-2024,913634.0,955629.0,41995.0,0.046
Marketing,Aug-2024,265515.0,261937.0,-3578.0,-0.0135
Marketing,Sep-2024,156015.0,147813.0,-8202.0,-0.0526
Marketing,Oct-2024,5158.0,5220.0,62.0,0.012
Marketing,Nov-2024,84135.0,77037.0,-7098.0,-0.0844
Marketing,Dec-2024,88385.0,93830.0,5445.0,0.0616
Operations,Jan-2024,936211.0,899294.0,-36917.0,-0.0394
Operations,Feb-2024,751664.0,757440.0,5776.0,0.0077
Operations,Mar-2024,304068.0,284414.0,-19654.0,-0.0646
Operations,Apr-2024,850883.0,897167.0,46284.0,0.0544
Operations,May-2024,30924.0,28555.0,-2369.0,-0.0766
Operations,Jun-2024,72803.0,79183.0,6380.0,0.0876
Operations,Jul-2024,15447.0,16203.0,756.0,0.0489
Operations,Aug-2024,131343.0,124220.0,-7123.0,-0.0542
Operations,Sep-2024,164250.0,149630.0,-14620.0,-0.089
Operations,Oct-2024,105653.0,111652.0,5999.0,0.0568
Operations,Nov-2024,588928.0,610856.0,21928.0,0.0372
Operations,Dec-2024,147261.0,153331.0,6070.0,0.0412
R&D,Jan-2024,32179.0,32018.0,-161.0,-0.005
R&D,Feb-2024,185677.0,172963.0,-12714.0,-0.0685
R&D,Mar-2024,51513.0,53490.0,1977.0,0.0384
R&D,Apr-2024,831785.0,870830.0,39045.0,0.0469
R&D,May-2024,408379.0,412883.0,4504.0,0.011
R&D,Jun-2024,168077.0,176274.0,8197.0,0.0488
R&D,Jul-2024,27468.0,27437.0,-31.0,-0.0011
R&D,Aug-2024,155809.0,156446.0,637.0,0.0041
R&D,Sep-2024,164520.0,162374.0,-2146.0,-0.013
R&D,Oct-2024,547074.0,500340.0,-46734.0,-0.0854
R&D,Nov-2024,424520.0,394557.0,-29963.0,-0.0706
R&D,Dec-2024,912818.0,835828.0,-76990.0,-0.0843
HR,Jan-2024,176168.0,180398.0,4230.0,0.024
HR,Feb-2024,331631.0,353804.0,22173.0,0.0669
HR,Mar-2024,1111570.0,1172329.0,60759.0,0.0547
HR,Apr-2024,133849.0,126297.0,-7552.0,-0.0564
HR,May-2024,246601.0,264025.0,17424.0,0.0707
HR,Jun-2024,657601.0,662257.0,4656.0,0.0071
HR,Jul-2024,121277.0,127988.0,6711.0,0.0553
HR,Aug-2024,37393.0,40058.0,2665.0,0.0713
HR,Sep-2024,159710.0,154478.0,-5232.0,-0.0328
HR,Oct-2024,82067.0,76306.0,-5761.0,-0.0702
HR,Nov-2024,1239326.0,1178634.0,-60692.0,-0.049
HR,Dec-2024,770631.0,760519.0,-10112.0,-0.0131
Customer Success,Jan-2024,1363.0,1476.0,113.0,0.0829
Customer Success,Feb-2024,139699.0,133457.0,-6242.0,-0.0447
Customer Success,Mar-2024,105579.0,105526.0,-53.0,-0.0005
Customer Success,Apr-2024,49083.0,47323.0,-1760.0,-0.0359
Customer Success,May-2024,24951.0,23984.0,-967.0,-0.0388
Customer Success,Jun-2024,80494.0,73783.0,-6711.0,-0.0834
Customer Success,Jul-2024,559505.0,570539.0,11034.0,0.0197
